Date,Open,High,Low,Close,Volume
2023-09-15,56.1,69.0,55.54,60.75,205287600
2023-09-22,57.95,58.74,49.85,51.32,92691100
2023-09-29,51.12,56.79,50.02,53.52,42622500
2023-10-06,53.47,54.21,50.8,54.08,26744900
2023-10-13,54.32,56.33,50.0,50.78,30568200
2023-10-20,51.04,52.76,46.5,47.87,20777900
2023-10-27,47.22,52.89,46.5,49.09,27876400
2023-11-03,49.51,53.86,47.12,53.49,17290500
2023-11-10,53.98,56.1,49.82,52.27,34141900
2023-11-17,52.2,56.03,50.57,54.99,20621400
2023-11-24,55.35,64.92,55.27,63.88,34501300
2023-12-01,63.05,64.43,60.79,63.9,24710700
2023-12-08,63.9,67.44,60.37,67.23,39068500
2023-12-15,67.26,71.89,62.75,71.03,39254600
2023-12-22,69.96,73.44,68.02,72.29,27993200
2023-12-29,73.27,78.66,71.76,75.14,28203800
2024-01-05,73.5,73.52,65.11,67.05,30743400
2024-01-12,67.76,74.38,67.52,70.0,33158200
2024-01-19,70.0,78.97,66.66,78.58,35543400
2024-01-26,78.58,79.94,70.8,71.17,34616300
2024-02-02,72.0,74.15,69.32,71.0,21237000
2024-02-09,71.99,126.58,71.6,115.21,191562600
2024-02-16,120.16,164.0,117.0,128.34,283552100
2024-02-23,123.78,138.5,115.49,133.34,93009400
2024-03-01,139.0,149.92,131.31,141.62,73868700
2024-03-08,145.39,148.48,130.0,131.48,60913000
2024-03-15,126.6,136.29,121.38,126.97,56444400
2024-03-22,128.17,137.0,121.52,134.15,35781600
2024-03-29,137.15,145.0,122.83,124.99,52877100
2024-04-05,126.36,128.73,120.02,124.82,23945600
2024-04-12,124.82,135.41,123.39,126.33,36005600
2024-04-19,126.2,126.87,85.61,87.19,70114200
2024-04-26,89.94,103.75,89.06,101.95,49902200
2024-05-03,102.2,105.19,95.24,101.7,23781000
2024-05-10,103.82,110.37,97.76,108.84,75610000
2024-05-17,114.0,118.5,109.61,110.35,47962500
2024-05-24,111.0,117.36,108.69,114.64,37323100
2024-05-31,115.46,125.98,115.32,120.52,40243300
2024-06-07,125.0,140.97,122.54,136.57,46424600
2024-06-14,134.79,167.69,132.5,157.89,75223700
2024-06-21,160.17,177.31,151.37,160.3,79056000
2024-06-28,156.87,170.88,149.5,163.62,46749300
2024-07-05,163.43,182.65,152.55,181.19,35021600
2024-07-12,181.04,188.75,173.03,181.18,45402000
2024-07-19,182.11,183.74,152.22,163.4,41690700
2024-07-26,165.47,173.23,140.0,149.0,47689200
2024-08-02,146.38,149.95,108.73,113.45,83730200
2024-08-09,98.5,120.29,96.66,117.0,56559100
2024-08-16,117.66,133.1,115.32,130.3,40453200
2024-08-23,130.62,138.05,126.29,135.63,30378200
2024-08-30,134.51,137.1,121.88,132.88,32150100
2024-09-06,129.87,130.39,114.91,117.29,23854300
2024-09-13,122.64,149.93,120.08,147.37,41148400
2024-09-20,143.0,147.42,136.28,138.9,36209900
2024-09-27,139.96,152.39,139.72,145.58,27281500
2024-10-04,140.96,145.0,132.8,140.55,20732900
2024-10-11,139.48,152.3,139.11,151.46,21671000
2024-10-18,153.1,164.16,147.0,153.03,33074100
2024-10-25,152.2,154.11,138.4,143.75,28686000
2024-11-01,145.0,157.69,140.25,141.48,26971000
2024-11-08,140.0,154.65,137.29,147.48,40507900
2024-11-15,145.95,145.95,126.81,128.73,28508200
2024-11-22,127.5,138.2,126.36,135.99,21129800
2024-11-29,138.67,142.24,129.6,134.29,15340100
2024-12-06,134.2,144.54,134.2,140.89,20583000
2024-12-13,140.15,156.4,135.83,151.91,26181400
2024-12-20,153.0,153.0,128.3,132.15,28828000
2024-12-27,129.89,133.3,123.26,129.2,17317200
2025-01-03,126.65,141.45,123.11,141.08,16364100
2025-01-10,142.79,150.14,138.02,140.49,19234900
2025-01-17,137.0,151.6,134.63,149.26,20004000
2025-01-24,149.85,182.88,147.01,162.52,57078700
2025-01-31,148.9,162.96,142.32,159.55,32636500
2025-02-07,153.55,173.95,152.0,162.51,40240100
2025-02-14,162.96,168.39,153.8,159.54,27540800
2025-02-21,160.5,161.15,143.8,144.84,18821500
2025-02-28,145.05,145.61,127.43,131.69,21921200
2025-03-07,133.0,133.94,117.52,125.55,31586200
2025-03-14,120.5,121.8,109.9,117.94,29682400
2025-03-21,118.06,123.7,115.5,119.07,15200900
2025-03-28,122.06,126.27,106.73,107.8,19910000
2025-04-04,104.0,110.14,84.39,87.71,31823500
2025-04-11,80.92,107.94,80.0,103.99,46566400
2025-04-18,108.21,109.46,97.89,100.73,14773400
2025-04-25,99.79,114.83,95.32,113.34,22137000
2025-05-02,112.53,123.98,107.54,123.27,21058300
2025-05-09,121.09,124.44,114.33,115.8,37824000
